cgpa,score,placed
7.87,8.34,0
7.76,7.97,1
4.81,5.07,0
8.11,7.72,1
6.9,6.72,0
9.79,9.84,1
7.77,7.31,0
6.09,5.69,0
5.94,5.84,0
9.03,9.4,0
8.84,8.92,0
9.11,8.97,0
10.14,9.92,0
5.76,5.38,1
8.25,8.08,1
8.05,7.59,1
7.08,7.53,1
8.78,8.93,0
6.11,5.82,0
9.03,8.67,1
6.45,6.9,0
5.2,5.42,0
8.53,8.61,0
9.85,9.93,0
9.15,9.2,1
6.85,6.36,0
9.4,9.53,0
8.92,9.25,0
8.72,8.74,0
5.46,5.66,0
5.52,5.73,0
5.31,5.17,0
7.76,8.02,0
8.55,9,1
7.97,7.77,0
9.05,8.68,1
7.59,7.75,0
6.59,6.13,0
5.71,5.32,0
9.8,9.82,0
10.29,9.97,0
7.61,7.88,0
5.97,6.07,0
5.45,5.54,1
6.02,5.59,0
8.32,8.65,0
8.26,8.26,1
9.47,9.51,1
7.6,7.66,0
6.28,6.22,0
8.85,8.45,1
5.76,5.35,0
5.83,6.27,0
8.99,9.31,0
9.31,9.09,1
8.17,8.45,0
7.24,7.45,0
5.02,5.38,0
6.74,6.46,0
9.11,9.42,1
8.93,9.03,0
6.97,6.67,0
5.8,5.62,0
9.32,9.75,1
6.92,6.99,0
7.5,7.97,0
8.32,8.21,0
9.76,9.73,0
5.45,5.34,0
9.41,9.73,1
5.16,5.12,0
5.49,5.66,0
8.34,8.7,0
9.72,9.45,1
5.47,5.02,1
7.31,7.62,0
6.82,6.73,0
7.84,7.52,0
8.73,8.41,0
9.94,9.74,1
10.11,9.74,0
7.17,7.61,1
6.09,6.2,0
5.94,5.85,0
5.71,5.41,0
7.91,8.11,0
9.73,9.88,0
6.02,6.39,0
5.86,6.32,0
7.46,7.43,0
7.51,7.7,0
6.76,6.69,0
9.78,9.41,0
9.41,9,0
7.34,6.89,0
7.81,7.59,0
5.11,5.6,0
6.99,7.06,0
7.38,7.45,0
9.62,9.81,0
10.12,9.96,1
7.47,7.86,0
7.54,7.49,1
6.2,5.96,0
6.76,6.61,0
6.41,6.49,0
6.6,6.56,0
7.54,7.99,0
6.44,6.79,0
7.35,7.55,0
7.56,7.52,1
5.43,5.08,0
6.23,6.57,0
4.99,5.42,0
6.91,6.91,0
5.24,5.12,0
7.22,7.08,0
7.94,7.98,0
9.09,9.44,0
7.49,7.29,0
7.07,6.91,0
6.72,6.44,0
5.6,5.62,0
10.11,9.72,0
9.96,9.73,0
9.28,9.25,1
9.69,9.87,1
6.53,6.61,0
6.54,6.21,0
5.57,5.89,0
5.45,5.39,0
7,7.16,0
5.3,5.64,0
5.55,5.17,0
5.81,6.03,0
9.55,9.08,0
5.32,5.2,0
9.25,9.09,0
6.88,7.2,0
5.1,5.51,0
9.19,9.28,0
5.16,5.57,0
7.15,7.24,0
5.78,5.49,0
7.82,8.18,0
4.8,5.27,0
